Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2017-01-25 07:46:00,online,Battle 5,Battle River 5 on line.,47.59,NO,47.59,0.0,2017-01-25 07:46:00,0.0,24.75,47.99327589829796,2017-01-25 09:22:00,96.0,28.04427777777779,31.64672222222225,10499.0,279.0,174.0,105.0,0.0
2017-01-26 04:34:00,offline,Sundance 4,Sundance 4 offline.,18.39,NO,21.9,19.08646003262642,2017-01-26 07:27:00,173.0,18.39,0.0,2017-01-26 04:34:00,0.0,18.38999999999998,20.21733333333334,9155.0,585.0,452.0,41.0,92.0
2017-01-26 04:36:00,offline,Sundance 4,Sundance 4 offline.,18.39,NO,21.9,19.08646003262642,2017-01-26 07:27:00,171.0,18.39,0.0,2017-01-26 04:36:00,0.0,18.38999999999998,20.25633333333334,9155.0,585.0,452.0,41.0,92.0
2017-01-26 14:13:00,online,Sundance 4,Sundance 4 on line.,27.77,NO,27.77,0.0,2017-01-26 14:13:00,0.0,23.92,13.863881886928331,2017-01-26 14:36:00,23.0,27.59194444444451,26.682666666666638,10138.0,128.0,-13.0,-7.0,147.0
2017-01-26 15:37:00,offline,Sundance 5,Sundance 5 off line.,27.77,NO,32.68,17.680950666186533,2017-01-26 17:33:00,116.0,24.42,12.063377745768811,2017-01-26 18:10:00,153.0,27.149555555555626,27.343611111111088,10164.0,123.0,-10.0,2.0,126.0
2017-01-27 21:31:00,offline,Sundance 2,Sundance 2 offline,18.7,NO,19.09,2.085561497326216,2017-01-27 21:45:00,14.0,18.29,2.1925133689839615,2017-01-27 23:00:00,89.0,19.35094444444446,18.444666666666663,9934.0,67.0,9.0,57.0,0.0
2017-01-29 03:18:00,online,HR Milner,HR Milner online.,18.39,NO,18.39,0.0,2017-01-29 03:18:00,0.0,18.39,0.0,2017-01-29 03:18:00,0.0,18.38999999999998,18.38999999999998,8735.0,680.0,658.0,21.0,0.0
2017-01-29 22:45:00,online,Sundance 2,Sundance 2 on line.,18.39,NO,18.39,0.0,2017-01-29 22:45:00,0.0,18.29,0.5437737901033302,2017-01-30 00:17:00,92.0,19.07399999999996,18.34111111111111,9493.0,400.0,395.0,5.0,0.0
2017-01-30 01:52:00,offline,Sundance 2,Sundance 2 off line.,18.29,NO,18.29,0.0,2017-01-30 01:52:00,0.0,18.29,0.0,2017-01-30 01:52:00,0.0,18.337222222222216,18.28999999999997,8795.0,645.0,656.0,-14.0,0.0
2017-01-30 10:33:00,online,Sundance 2,Sundance 2 Online,27.77,NO,27.77,0.0,2017-01-30 10:33:00,0.0,20.35,26.719481454807337,2017-01-30 12:47:00,134.0,33.22288888888899,22.44894444444446,10279.0,51.0,251.0,-198.0,0.0
2017-01-30 15:38:00,offline,Offline 2,Sheerness 2 Offline,27.77,NO,60.4,117.50090025207056,2017-01-30 17:40:00,122.0,27.77,0.0,2017-01-30 15:38:00,0.0,20.583222222222272,39.105111111111164,10352.0,48.0,113.0,-65.0,0.0
2017-01-30 23:45:00,online,Sundance 1,Sundance 1 on line,20.42,NO,33.25,62.83055827619979,2017-01-31 00:51:00,66.0,20.42,0.0,2017-01-30 23:45:00,0.0,27.906555555555627,22.661166666666613,9450.0,177.0,177.0,0.0,0.0
2017-01-31 09:33:00,maintenance,AESO,The AESO is doing planned maintenance today at 10:10am MDT for approx 40 minutes. Users should log out of ADaMS for the duration of the outage. System Controllers will dispatch via phone. Updates to AESO Reports may be delayed.,27.77,NO,32.0,15.23226503420958,2017-01-31 11:35:00,122.0,27.41,1.2963629816348576,2017-01-31 10:08:00,35.0,30.636333333333443,28.805666666666696,10476.0,180.0,167.0,12.0,0.0
2017-01-31 11:07:00,online,line 2,Sheerness 2 on line.,27.41,NO,32.0,16.745713243341843,2017-01-31 11:35:00,28.0,20.68,24.553082816490335,2017-01-31 13:24:00,137.0,28.449722222222167,27.34288888888884,10510.0,-11.0,-3.0,-7.0,0.0
2017-02-01 12:43:00,maintenance,AESO,The AESO is doing planned system maintenance today at 1:10pm MST for approximately 40 minutes. ETS will be unavailable for the duration of the outage. Restatements should be reported via telephone during this time. There is no impact to ADaMS.,24.42,NO,27.77,13.718263718263701,2017-02-01 13:48:00,65.0,24.42,0.0,2017-02-01 12:43:00,0.0,26.88338888888888,26.210722222222245,10497.0,59.0,36.0,21.0,0.0
2017-02-01 16:49:00,maintenance,AESO,The AESO is doing planned system maintenance today at 5:00pm MST for approximately 40 minutes. There is no outage to ETS or ADaMS  however Ancillary Service restatements in ETS will be delayed.,27.77,NO,32.76,17.969031328772054,2017-02-01 17:27:00,38.0,27.77,0.0,2017-02-01 16:49:00,0.0,27.09816666666672,29.353777777777804,10577.0,47.0,24.0,21.0,0.0
2017-02-01 20:20:00,online,Sundance 5,Sundance 5 on line,28.89,NO,32.05,10.938040844582897,2017-02-01 21:00:00,40.0,20.5,29.04119072343372,2017-02-01 23:11:00,171.0,29.50238888888893,29.239000000000118,10701.0,141.0,64.0,79.0,0.0
2017-02-02 14:03:00,maintenance,ETS 2:10pm,The AESO is doing system maintenance today at 2:10pm MST for approx 40 minutes. Users should log out of ADaMS. Dispatching will be done via phone. ETS unavailable from 2:10pm to 2:25pm.,21.7,NO,22.38,3.133640552995387,2017-02-02 17:02:00,179.0,20.43,5.852534562211975,2017-02-02 15:02:00,59.0,23.15722222222212,21.28322222222224,10412.0,199.0,189.0,10.0,0.0
2017-02-02 14:05:00,online,posting 750,Interchange Transfer Capability tool is unavailable. Manual posting process is in effect.ATCs for HE16 & HE17:                    Import         ExportBC              750              950MATL          295              300SPC           153              153,21.7,NO,22.38,3.133640552995387,2017-02-02 17:02:00,177.0,20.43,5.852534562211975,2017-02-02 15:02:00,57.0,23.113333333333234,21.290777777777798,10412.0,199.0,189.0,10.0,0.0
2017-02-02 14:44:00,other,AESO,Interchange Transfer Capability tool is now functioning and the AESO is resuming normal interchange operations.,21.69,NO,22.38,3.181189488243419,2017-02-02 17:02:00,138.0,20.43,5.809128630705396,2017-02-02 15:02:00,18.0,22.279833333333276,21.310666666666688,10412.0,199.0,189.0,10.0,0.0
2017-02-02 21:49:00,offline,Sundance 4,Sundance 4 offline,26.61,NO,26.61,0.0,2017-02-02 21:49:00,0.0,19.3,27.470875610672675,2017-02-03 00:41:00,172.0,22.558944444444457,20.742555555555573,10433.0,461.0,381.0,79.0,0.0
2017-02-04 09:47:00,offline,Genesee 2,Genesee 2 off line.,34.2,NO,34.2,0.0,2017-02-04 09:47:00,0.0,27.77,18.801169590643283,2017-02-04 12:46:00,179.0,26.836055555555525,32.201666666666696,10204.0,84.0,2.0,81.0,0.0
2017-02-05 12:37:00,online,Sundance 4,Sundance 4 on line.,27.77,NO,30.96,11.487216420597779,2017-02-05 13:39:00,62.0,27.77,0.0,2017-02-05 12:37:00,0.0,28.602944444444535,29.588388888888822,10272.0,-67.0,-16.0,-48.0,0.0
2017-02-06 03:19:00,online,Genesee 2,Genesee 2 online.,19.24,NO,20.46,6.34095634095635,2017-02-06 06:17:00,178.0,18.5,3.8461538461538436,2017-02-06 03:29:00,10.0,19.681888888888786,18.888555555555573,9606.0,17.0,30.0,-11.0,0.0
2017-02-07 20:25:00,offline,Sundance 6,Sundance 6 offline,26.27,NO,32.97,25.504377617053663,2017-02-07 21:00:00,35.0,19.5,25.770841263799007,2017-02-07 23:00:00,155.0,27.562000000000065,23.5021111111111,11009.0,367.0,80.0,142.0,146.0
2017-02-08 03:21:00,online,Sundance 6,Sundance 6 on line,20.42,NO,20.43,0.048971596474034484,2017-02-08 05:51:00,150.0,19.5,4.50538687561215,2017-02-08 05:16:00,115.0,20.186222222222266,20.258333333333333,9716.0,110.0,110.0,0.0,0.0
2017-02-08 07:10:00,offline,Battle 5,Battle River 5 off line,27.77,NO,50.05,80.23046453006842,2017-02-08 07:32:00,22.0,27.77,0.0,2017-02-08 07:10:00,0.0,21.23616666666664,42.64783333333332,10809.0,258.0,174.0,84.0,0.0
2017-02-08 16:14:00,online,Battle 5,Battle River 5 on line.,21.69,NO,33.64,55.09451360073767,2017-02-08 18:11:00,117.0,21.69,0.0,2017-02-08 16:14:00,0.0,25.04277777777783,27.257777777777775,10720.0,29.0,20.0,10.0,0.0
2017-02-09 01:12:00,offline,Sundance 6,Sundance 6 offline,19.5,NO,19.5,0.0,2017-02-09 01:12:00,0.0,18.5,5.128205128205132,2017-02-09 01:21:00,9.0,20.158277777777865,18.541333333333416,9718.0,53.0,-22.0,3.0,77.0
2017-02-11 00:28:00,offline,other,Calgary Energy Centre off line.,17.45,NO,17.45,0.0,2017-02-11 00:28:00,0.0,15.41,11.690544412607451,2017-02-11 03:17:00,169.0,17.81055555555551,17.02933333333334,9313.0,10.0,-18.0,-46.0,74.0
2017-02-11 10:01:00,online,Sundance 6,Sundance 6 on line.,20.43,NO,20.43,0.0,2017-02-11 10:01:00,0.0,18.39,9.985315712187958,2017-02-11 12:30:00,149.0,20.426555555555495,19.90094444444447,9916.0,-13.0,-20.0,7.0,0.0
2017-02-13 03:04:00,online,other,Calgary Energy Centre on line.,15.41,NO,16.54,7.332900713822177,2017-02-13 05:40:00,156.0,15.41,0.0,2017-02-13 03:04:00,0.0,15.409999999999988,15.56066666666667,8765.0,362.0,427.0,-65.0,0.0
2017-02-13 18:27:00,offline,other,Calgary Energy Center off line.,20.43,NO,20.43,0.0,2017-02-13 18:27:00,0.0,18.39,9.985315712187958,2017-02-13 21:15:00,168.0,19.133666666666645,19.80905555555557,10452.0,95.0,2.0,93.0,0.0
2017-02-14 07:31:00,maintenance,AESO,The AESO is doing planned system maintenance today starting at 8:00am MST for approximately 2 hours. ADaMS will remain fully functional  however  users will be logged out of ADaMS and will be required to log back in.,20.42,NO,20.42,0.0,2017-02-14 07:31:00,0.0,18.92,7.345739471106761,2017-02-14 09:37:00,126.0,18.85477777777774,20.214000000000038,10060.0,290.0,103.0,187.0,0.0
2017-02-14 08:26:00,maintenance,other,System maintenance postponed until further notice.,20.42,NO,20.42,0.0,2017-02-14 08:26:00,0.0,18.39,9.941234084231155,2017-02-14 11:03:00,157.0,19.50211111111115,19.762611111111124,10076.0,394.0,225.0,169.0,0.0
2017-02-14 12:44:00,maintenance,AESO,The AESO is doing planned system maintenance today starting at 1:00pm MST for approximately 2 hours. ADaMS will remain fully functional  however  users will be logged out of ADaMS and will be required to log back in.,16.97,NO,16.97,0.0,2017-02-14 12:44:00,0.0,16.65,1.8856806128461967,2017-02-14 14:21:00,97.0,18.765944444444397,16.782888888888934,9850.0,5.0,3.0,3.0,0.0
2017-02-17 02:53:00,offline,Genesee 2,Genesee #2 off line.,15.41,NO,18.5,20.051914341336797,2017-02-17 05:45:00,172.0,15.41,0.0,2017-02-17 02:53:00,0.0,14.12655555555552,17.140944444444454,8658.0,-29.0,-33.0,0.0,0.0
2017-02-17 04:06:00,offline,Sheerness 1,Sheerness #1 unit off line.,16.79,NO,20.43,21.67957117331745,2017-02-17 06:38:00,152.0,16.79,0.0,2017-02-17 04:06:00,0.0,15.139444444444457,18.70105555555553,8716.0,-10.0,-11.0,3.0,0.0
2017-02-17 18:24:00,offline,Sundance 5,Sundance 5 off line,20.45,NO,38.85,89.9755501222494,2017-02-17 18:46:00,22.0,20.45,0.0,2017-02-17 18:24:00,0.0,23.145000000000014,31.3996666666668,10063.0,-156.0,-155.0,-8.0,2.0
2017-02-18 12:06:00,online,line 1,Sheerness 1 on line.,27.77,NO,27.77,0.0,2017-02-18 12:06:00,0.0,20.43,26.431400792221826,2017-02-18 14:51:00,165.0,28.512000000000075,26.865277777777894,9685.0,-153.0,-162.0,12.0,0.0
