Date,Event Type,Asset,Message,SMP Spike After Event (>$200),Pool Price Spike After Event (>$200),Event SMP ($/MW),Event Pool Price ($/MW),Max Pool Price After Event,Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2019-08-19 04:32:00,online,Sundance 4,Sundance #4 online.,NO,NO,28.39,28.18,28.99,28.99,2.113420218386741,2019-08-19 06:00:00,88.0,28.39,0.0,2019-08-19 04:32:00,0.0,28.16772222222216,28.860722222222137,8482.0,-183.0,-17.0,-63.0,-101.0
2019-08-21 09:40:00,maintenance,AESO,The AESO is doing maintenance today at 10:10 for approximately 10 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone.,NO,NO,32.59,30.67,33.83,34.32,5.308376802700199,2019-08-21 11:18:00,98.0,32.59,0.0,2019-08-21 09:40:00,0.0,23.206222222222237,33.40605555555548,9833.0,-222.0,-29.0,-91.0,-102.0
2019-08-22 10:45:00,maintenance,AESO,The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.,NO,NO,33.93,33.93,33.93,90.01,165.28146183318597,2019-08-22 13:20:00,155.0,33.91,0.058944886531098195,2019-08-22 11:00:00,15.0,32.65488888888899,41.55416666666663,9971.0,-160.0,-5.0,-54.0,-101.0
2019-08-22 23:07:00,offline,Sundance 4,Sundance 4 offline,NO,NO,33.82,33.45,33.89,33.84,0.059136605558851585,2019-08-23 01:00:00,113.0,32.59,3.6369012418687063,2019-08-23 00:00:00,53.0,33.57611111111101,32.92811111111122,9189.0,-181.0,21.0,-60.0,-143.0
2019-08-24 02:26:00,offline,Keephills 3,Keephills 3 off line.,NO,NO,28.12,28.4,32.69,32.72,16.358463726884764,2019-08-24 03:21:00,55.0,28.12,0.0,2019-08-24 02:26:00,0.0,28.28749999999993,31.526333333333216,8630.0,-225.0,-17.0,-67.0,-143.0
2019-08-24 08:36:00,online,Keephills 3,Keephills 3 online.,NO,NO,33.9,33.88,47.54,59.94,76.81415929203538,2019-08-24 11:00:00,144.0,33.88,0.058997050147480135,2019-08-24 09:00:00,24.0,33.55966666666663,43.64761111111107,9047.0,-204.0,-10.0,-44.0,-143.0
2019-08-28 09:09:00,offline,Keephills 3,Keephills 3 offline.,NO,NO,33.47,44.6,44.6,59.48,77.71138332835375,2019-08-28 09:15:00,6.0,33.47,0.0,2019-08-28 09:09:00,0.0,29.32505555555557,37.43022222222224,9664.0,-178.0,-3.0,-99.0,-76.0
2019-08-28 09:24:00,online,Battle 4,Battle River 4 online,NO,NO,59.48,44.6,44.6,59.48,0.0,2019-08-28 09:24:00,0.0,33.48,43.71217215870882,2019-08-28 10:35:00,71.0,31.309000000000026,35.89461111111117,9664.0,-178.0,-3.0,-99.0,-76.0
2019-08-28 11:29:00,offline,Keephills 3,Keephills 3 offline.,NO,NO,34.73,33.94,44.6,34.74,0.028793550244765598,2019-08-28 13:10:00,101.0,33.5,3.5416066801036483,2019-08-28 13:00:00,91.0,37.32611111111109,34.14477777777768,9881.0,-250.0,-21.0,-154.0,-76.0
2019-08-30 15:00:00,online,Sundance 4,Sundance Unit 4 on line,NO,NO,34.9,34.9,59.48,59.99,71.89111747851004,2019-08-30 17:00:00,120.0,33.57,3.8108882521489917,2019-08-30 16:00:00,60.0,34.91333333333331,47.86249999999996,10030.0,-47.0,89.0,-33.0,-102.0
2019-08-30 18:22:00,offline,Genesee 3,Genesee #3 Offline.,NO,NO,33.4,49.33,70.76,78.84,136.0479041916168,2019-08-30 18:58:00,36.0,33.4,0.0,2019-08-30 18:22:00,0.0,47.77094444444435,51.78611111111099,9674.0,140.0,278.0,-34.0,-102.0
2019-08-30 21:18:00,offline,Sundance 6,Sundance #6 offline,NO,NO,34.97,34.97,70.76,34.97,0.0,2019-08-30 21:18:00,0.0,33.39,4.518158421504137,2019-08-30 23:43:00,145.0,51.7512222222221,34.65211111111119,9486.0,-143.0,-1.0,-40.0,-102.0
2019-08-30 22:03:00,online,Genesee 3,Genesee #3 online.,NO,NO,34.96,34.96,70.76,34.96,0.0,2019-08-30 22:03:00,0.0,33.39,4.4908466819222,2019-08-30 23:43:00,100.0,46.167222222222264,34.2666111111112,9231.0,-140.0,17.0,-55.0,-102.0
2019-08-30 22:04:00,offline,other,H.R.Milner offline,NO,NO,34.96,34.96,70.76,34.96,0.0,2019-08-30 22:04:00,0.0,33.39,4.4908466819222,2019-08-30 23:43:00,99.0,45.9234444444445,34.25788888888898,9231.0,-140.0,17.0,-55.0,-102.0
